Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
2020;Inditex;vtn;;;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;;;;;;
2019;Inditex;vtn;28286;Memoria Anual Inditex 2019, Pág. 12;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;;;;;;
2018;Inditex;vtn;26145;Memoria Anual Inditex, 2018, Pág. 20;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2017;Inditex;vtn;25336;Memoria Anual Inditex, 2018, Pág. 20;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2016;Inditex;vtn;23311;Memoria Anual Inditex, 2018, Pág. 20;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2015;Inditex;vtn;20900;Memoria Anual Inditex, 2018, Pág. 20;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2014;Inditex;vtn;18117;Memoria Anual Inditex, 2018, Pág. 20;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2013;Inditex;vtn;16724;Inditex Annual Report, 2013;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2012;Inditex;vtn;15946;Inditex Annual Report, 2014;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;;;;;;
2011;Inditex;vtn;13792,612;Informe Anual Inditex 2011, Pág, 120;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2010;Inditex;vtn;12526,595;Informe Anual Inditex 2011, Pág, 120;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2009;Inditex;vtn;11084;Informe Anual de Inditex, 2010.;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;;;;;;
2008;Inditex;vtn;10407;Memoria Anual Inditex 2008, Pág. 18;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;ok;;;;;
2007;Inditex;vtn;9435;Memoria Anual, 2009;Ventas Totales Netas o Cifra de Negocio (millones de euros);volumen de negocio;;;;;;
